epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.082,2.00241,3.35609,1.86358,0.01295,0.63694,0.13135,0.04711,1.99162,3.63414,1.69913,0.00037154,0.00037154,0.00037154
2,282.994,1.87744,2.34697,1.68387,0.49984,0.08531,0.24615,0.10407,1.93143,3.10997,1.70695,0.000749872,0.000749872,0.000749872
3,394.71,1.87265,2.11092,1.62708,0.65483,0.20679,0.3786,0.14514,2.0309,2.87292,1.95719,0.00112056,0.00112056,0.00112056
4,506.436,1.85839,2.18246,1.69399,0.46648,0.39918,0.37527,0.14406,2.07087,2.43888,1.98851,0.00138656,0.00138656,0.00138656
5,618.503,1.8649,2.06492,1.71722,0.49845,0.41833,0.39417,0.14175,2.22099,2.30313,2.08659,0.00137241,0.00137241,0.00137241
6,733.228,1.87594,2.05269,1.66243,0.36618,0.50101,0.4163,0.1626,2.13443,2.33938,2.03344,0.00135826,0.00135826,0.00135826
7,845.656,1.84926,2.01565,1.69772,0.38342,0.50383,0.37356,0.1489,2.04438,2.49627,1.99295,0.00134412,0.00134412,0.00134412
8,957.476,1.82657,1.97683,1.70214,0.41275,0.45894,0.38887,0.15806,2.07465,2.50242,1.92274,0.00132997,0.00132997,0.00132997
9,1068.97,1.90465,1.92467,1.67972,0.33681,0.59385,0.40206,0.14541,2.09831,2.98428,1.91033,0.00131582,0.00131582,0.00131582
10,1180.78,1.77023,1.82199,1.59617,0.39879,0.44547,0.35959,0.12866,2.17332,2.48367,1.94685,0.00130168,0.00130168,0.00130168
11,1291.91,1.82742,1.76783,1.6448,0.38728,0.32003,0.35212,0.14919,2.07266,2.32304,1.89984,0.00128753,0.00128753,0.00128753
12,1404.51,1.79124,1.67575,1.61461,0.43763,0.47215,0.40106,0.14878,2.19621,2.13105,2.01765,0.00127338,0.00127338,0.00127338
